Zeitstempel:                     Temperatur:
Fri Sep 29 13:58:58 CEST 2023    26.50
Fri Sep 29 13:58:58 CEST 2023    26.50
Fri Sep 29 13:58:58 CEST 2023    25.75
Fri Sep 29 13:58:58 CEST 2023    26.00
Fri Sep 29 13:58:58 CEST 2023    26.00
Fri Sep 29 13:58:58 CEST 2023    26.00
Fri Sep 29 13:58:59 CEST 2023    26.00
Fri Sep 29 13:58:59 CEST 2023    26.00
Fri Sep 29 13:58:59 CEST 2023    26.00
Fri Sep 29 13:58:59 CEST 2023    26.00
Fri Sep 29 13:59:00 CEST 2023    26.00
Fri Sep 29 13:59:00 CEST 2023    26.25
Fri Sep 29 13:59:00 CEST 2023    26.25
Fri Sep 29 13:59:00 CEST 2023    26.25
Fri Sep 29 13:59:01 CEST 2023    26.50
Fri Sep 29 13:59:01 CEST 2023    26.50
Fri Sep 29 13:59:01 CEST 2023    26.50
Fri Sep 29 13:59:01 CEST 2023    26.75
Fri Sep 29 13:59:02 CEST 2023    26.75
Fri Sep 29 13:59:02 CEST 2023    26.75
Fri Sep 29 13:59:02 CEST 2023    27.00
Fri Sep 29 13:59:02 CEST 2023    27.00
Fri Sep 29 13:59:02 CEST 2023    27.00
Fri Sep 29 13:59:03 CEST 2023    27.25
Fri Sep 29 13:59:03 CEST 2023    27.25
Fri Sep 29 13:59:03 CEST 2023    27.25
Fri Sep 29 13:59:03 CEST 2023    27.50
Fri Sep 29 13:59:04 CEST 2023    27.50
Fri Sep 29 13:59:04 CEST 2023    27.50
Fri Sep 29 13:59:04 CEST 2023    27.50
Fri Sep 29 13:59:04 CEST 2023    27.75
Fri Sep 29 13:59:05 CEST 2023    27.75
Fri Sep 29 13:59:05 CEST 2023    27.75
Fri Sep 29 13:59:05 CEST 2023    28.00
Fri Sep 29 13:59:05 CEST 2023    28.00
Fri Sep 29 13:59:06 CEST 2023    28.00
Fri Sep 29 13:59:06 CEST 2023    28.00
Fri Sep 29 13:59:06 CEST 2023    28.25
Fri Sep 29 13:59:06 CEST 2023    28.25
Fri Sep 29 13:59:07 CEST 2023    28.25
Fri Sep 29 13:59:07 CEST 2023    28.25
Fri Sep 29 13:59:07 CEST 2023    28.25
Fri Sep 29 13:59:07 CEST 2023    28.50
Fri Sep 29 13:59:07 CEST 2023    28.50
Fri Sep 29 13:59:08 CEST 2023    28.50
Fri Sep 29 13:59:08 CEST 2023    28.50
Fri Sep 29 13:59:08 CEST 2023    28.50
Fri Sep 29 13:59:08 CEST 2023    28.75
Fri Sep 29 13:59:09 CEST 2023    28.75
Fri Sep 29 13:59:09 CEST 2023    28.75
Fri Sep 29 13:59:09 CEST 2023    28.75
Fri Sep 29 13:59:09 CEST 2023    28.75
Fri Sep 29 13:59:10 CEST 2023    29.00
Fri Sep 29 13:59:10 CEST 2023    29.00
Fri Sep 29 13:59:10 CEST 2023    29.00
Fri Sep 29 13:59:10 CEST 2023    29.00
Fri Sep 29 13:59:11 CEST 2023    29.00
Fri Sep 29 13:59:11 CEST 2023    29.00
Fri Sep 29 13:59:11 CEST 2023    29.25
Fri Sep 29 13:59:11 CEST 2023    29.25
Fri Sep 29 13:59:12 CEST 2023    29.25
Fri Sep 29 13:59:12 CEST 2023    29.25
Fri Sep 29 13:59:12 CEST 2023    29.25
Fri Sep 29 13:59:12 CEST 2023    29.25
Fri Sep 29 13:59:12 CEST 2023    29.25
Fri Sep 29 13:59:13 CEST 2023    29.50
Fri Sep 29 13:59:13 CEST 2023    29.50
Fri Sep 29 13:59:13 CEST 2023    29.50
Fri Sep 29 13:59:13 CEST 2023    29.50
Fri Sep 29 13:59:14 CEST 2023    29.50
Fri Sep 29 13:59:14 CEST 2023    29.50
